city,state,latitude,longitude
KACHEMAK,AK,59.674536,-151.436346
KAKE,AK,56.97532,-133.903663
KAKTOVIK,AK,70.121017,-143.630251
KALIFORNSKY,AK,60.453399,-151.220304
KALTAG,AK,64.314143,-158.778761
KARLUK,AK,57.590874,-154.36391
KASAAN,AK,55.561147,-132.406834
KASIGLUK,AK,60.863429,-162.538781
KASILOF,AK,60.319103,-151.232577
KENAI,AK,60.56224,-151.20806
KENNY LAKE,AK,61.621786,-144.819662
KETCHIKAN,AK,55.357145,-131.674552
KIANA,AK,66.972586,-160.434365
KING COVE,AK,55.083328,-162.317638
KING SALMON,AK,58.72572,-156.535989
KIPNUK,AK,59.93749,-164.062194
KIVALINA,AK,67.735978,-164.511763
KLAWOCK,AK,55.556425,-133.08613
KLUKWAN,AK,59.401834,-135.882427
KNIK RIVER,AK,61.461903,-149.007489
KNIK-FAIRVIEW,AK,61.507645,-149.622601
KOBUK,AK,66.917007,-156.914456
KODIAK,AK,57.791192,-152.419712
KODIAK STATION,AK,57.76795,-152.595907
KOKHANOK,AK,59.412372,-154.732735
KOLIGANEK,AK,59.692774,-157.218064
KONGIGANAK,AK,59.991632,-162.846764
KOTLIK,AK,63.028565,-163.539245
KOTZEBUE,AK,66.886842,-162.49173
KOYUK,AK,64.939716,-161.121539
KOYUKUK,AK,64.901272,-157.694132
KUPREANOF,AK,56.821295,-132.972152
KWETHLUK,AK,60.793646,-161.430603
KWIGILLINGOK,AK,59.877345,-163.176956
LAKE LOUISE,AK,62.30162,-146.540163
LAKE MINCHUMINA,AK,63.789761,-152.462314
LARSEN BAY,AK,57.550894,-154.005277
LAZY MOUNTAIN,AK,61.658227,-148.925582
LEVELOCK,AK,59.068261,-156.901005
LIME VILLAGE,AK,61.330449,-155.238066
LIVENGOOD,AK,65.481785,-148.416484
LORING,AK,55.606677,-131.639977
LOWELL POINT,AK,60.076063,-149.493807
LOWER KALSKAG,AK,61.514721,-160.358532
LUTAK,AK,59.412212,-135.589046
MANLEY HOT SPRINGS,AK,65.018747,-150.645255
MANOKOTAK,AK,58.697452,-158.893734
MARSHALL,AK,61.871556,-162.060872
MCCARTHY,AK,61.453907,-142.864832
MCGRATH,AK,62.940607,-155.566409
MEADOW LAKES,AK,61.637987,-149.609611
MEKORYUK,AK,60.369439,-166.274062
MENDELTNA,AK,62.145985,-146.758859
MENTASTA LAKE,AK,63.011212,-143.560695
MERTARVIK,AK,60.81087,-164.498466
METLAKATLA,AK,55.114608,-131.555585
MILL BAY,AK,57.815501,-152.367542
MINTO,AK,65.088678,-149.592112
MOOSE CREEK,AK,64.716349,-147.166627
MOOSE PASS,AK,60.505936,-149.468361
MOSQUITO LAKE,AK,59.475103,-136.199106
MOUNTAIN VILLAGE,AK,62.091994,-163.695047
MUD BAY,AK,59.151183,-135.356493
NABESNA,AK,62.496057,-143.007785
NAKNEK,AK,58.787969,-156.873126
NANWALEK,AK,59.31378,-151.91407
NAPAKIAK,AK,60.6906,-161.986032
NAPASKIAK,AK,60.703217,-161.750817
NAUKATI BAY,AK,55.874121,-133.195015
NELCHINA,AK,62.010375,-146.830239
NELSON LAGOON,AK,55.836649,-161.635799
NENANA,AK,64.536054,-149.083629
NEW STUYAHOK,AK,59.494288,-157.287239
NEWHALEN,AK,59.736589,-154.900978
NEWTOK,AK,60.938548,-164.648371
NIGHTMUTE,AK,60.462401,-164.83464
NIKISKI,AK,60.725015,-151.225268
NIKOLAEVSK,AK,59.829549,-151.596384
NIKOLAI,AK,63.007747,-154.375082
NIKOLSKI,AK,53.008035,-168.719333
NINILCHIK,AK,60.062256,-151.401575
NOATAK,AK,67.589149,-163.011826
NOME,AK,64.505741,-165.415287
NONDALTON,AK,59.973949,-154.865871
NOORVIK,AK,66.828034,-161.043899
NORTH LAKES,AK,61.618378,-149.310724
NORTH POLE,AK,64.752728,-147.362655
NORTHWAY,AK,63.000809,-141.54127
NUIQSUT,AK,70.21258,-151.025076
NULATO,AK,64.691283,-158.27535
NUNAM IQUA,AK,62.506755,-164.900801
NUNAPITCHUK,AK,60.879634,-162.462223
OLD HARBOR,AK,57.21858,-153.327921
OSCARVILLE,AK,60.732087,-161.77692
OUZINKIE,AK,57.924593,-152.463767
PALMER,AK,61.597166,-149.114683
PAXSON,AK,62.975632,-145.758281
PEDRO BAY,AK,59.7895,-154.141274
PELICAN,AK,57.959229,-136.215066
PERRYVILLE,AK,55.934048,-159.155546
PETERSBURG,AK,56.756918,-132.874938
PETERSVILLE,AK,62.453484,-150.884124
PILOT POINT,AK,57.541137,-157.722807
PILOT STATION,AK,61.946502,-162.878289
PITKAS POINT,AK,62.037403,-163.268128
PLATINUM,AK,58.952084,-161.746807
PLEASANT VALLEY,AK,64.885468,-146.89855
POINT BAKER,AK,56.348132,-133.616794
POINT HOPE,AK,68.344155,-166.680386
POINT LAY,AK,69.737127,-162.835044
POINT MACKENZIE,AK,61.3427,-150.048525
POINT POSSESSION,AK,60.923081,-150.688844
POPE-VANNOY LANDING,AK,59.570808,-154.446886
PORT ALEXANDER,AK,56.237424,-134.652858
PORT ALSWORTH,AK,60.157849,-154.340608
PORT CLARENCE,AK,65.109372,-166.764606
PORT GRAHAM,AK,59.339819,-151.846501
