city,state,latitude,longitude
CHICAGO,IL,41.8781,-87.6298
DALLAS,TX,32.7767,-96.7970
SPRINGFIELD,IL,39.7817,-89.6501
ATLANTA,GA,33.7490,-84.3880
NEW YORK,NY,40.7128,-74.0060
